"yearspan","measurename","statecode","countycode","county","state","numerator","denominator","rawvalue","cilow","cihigh","measureid","chrreleaseyear","differflag","trendbreak","fips"
"2016-2018","Premature death",27,0,"Minnesota","MN",51060,15601031,"5,278.51","5,209.48","5,347.55",1,2020,NA,NA,99
"2017-2019","Premature death",27,0,"Minnesota","MN",52125,15691368,"5,314.26","5,245.08","5,383.44",1,2021,NA,NA,99
"2018-2020","Premature death",27,0,"Minnesota","MN",55372,15742575,"5,586.03","5,515.29","5,656.77",1,2022,NA,NA,99
"2019-2021","Premature death",27,0,"Minnesota","MN",60251,15839912,"6,116.79","6,042.50","6,191.09",1,2024,NA,1,99
"1997-1999","Premature death",27,69,"Kittson","MN",74,NA,"7,158.10","4,732.80","10,387.20",1,NA,NA,NA,27069
"1998-2000","Premature death",27,69,"Kittson","MN",75,NA,"7,063.20","4,652.00","10,281.30",1,NA,NA,NA,27069
"1999-2001","Premature death",27,69,"Kittson","MN",69,NA,"7,640.10","5,134.70","10,941.10",1,NA,NA,NA,27069
"2000-2002","Premature death",27,69,"Kittson","MN",65,NA,"8,744.90","5,839.50","12,589.00",1,NA,NA,NA,27069
"2001-2003","Premature death",27,69,"Kittson","MN",56,NA,"","","",1,NA,NA,NA,27069
"2002-2004","Premature death",27,69,"Kittson","MN",51,NA,"","","",1,NA,NA,NA,27069
"2003-2005","Premature death",27,69,"Kittson","MN",55,NA,"","","",1,NA,NA,NA,27069
"2004-2006","Premature death",27,69,"Kittson","MN",56,NA,"6,304.12","4,762.06","8,186.42",1,2010,1,1,27069
"2005-2007","Premature death",27,69,"Kittson","MN",53,NA,"6,222.84","4,661.34","8,139.63",1,2011,1,NA,27069
"2006-2008","Premature death",27,69,"Kittson","MN",45,NA,"5,072.92","3,700.22","6,787.96",1,2012,1,NA,27069
"2007-2009","Premature death",27,69,"Kittson","MN",48,NA,"4,197.08","3,094.59","5,564.71",1,NA,NA,NA,27069
"2008-2010","Premature death",27,69,"Kittson","MN",56,NA,"4,997.85","3,775.32","6,490.12",1,2013,NA,NA,27069
"2009-2011","Premature death",27,69,"Kittson","MN",NA,NA,"4,317.40","3,224.50","5,661.70",1,NA,NA,NA,27069
"2010-2012","Premature death",27,69,"Kittson","MN",54,NA,"5,664.01","4,254.98","7,390.30",1,2015,NA,NA,27069
"2011-2013","Premature death",27,69,"Kittson","MN",44,11873,"5,129.40","3,727.00","6,886.00",1,2016,NA,NA,27069
"2012-2014","Premature death",27,69,"Kittson","MN",59,11831,"6,937.30","5,281.00","8,948.60",1,2017,NA,NA,27069
"2013-2015","Premature death",27,69,"Kittson","MN",55,11787,"5,967.55","4,495.58","7,767.59",1,NA,NA,NA,27069
"2014-2016","Premature death",27,69,"Kittson","MN",56,11636,"5,783.42","4,368.73","7,510.25",1,2018,NA,NA,27069
"2015-2017","Premature death",27,69,"Kittson","MN",57,11457,"7,452.57","5,644.50","9,655.67",1,2019,NA,NA,27069
"2016-2018","Premature death",27,69,"Kittson","MN",56,11307,"7,715.24","4,572.54","12,193.41",1,2020,NA,NA,27069
"2017-2019","Premature death",27,69,"Kittson","MN",63,11291,"9,031.32","5,659.88","13,673.53",1,2021,NA,NA,27069
"2018-2020","Premature death",27,69,"Kittson","MN",68,11257,"7,738.54","4,726.90","11,951.55",1,2022,NA,NA,27069
"2019-2021","Premature death",27,69,"Kittson","MN",69,11187,"8,873.91","5,342.67","13,857.70",1,2024,NA,1,27069
"1997-1999","Premature death",27,89,"Marshall","MN",104,NA,"6,761.90","4,790.20","9,273.10",1,NA,NA,NA,27089
"1998-2000","Premature death",27,89,"Marshall","MN",104,NA,"6,363.80","4,601.70","8,578.10",1,NA,NA,NA,27089
"1999-2001","Premature death",27,89,"Marshall","MN",101,NA,"5,522.70","3,945.30","7,520.70",1,NA,NA,NA,27089
"2000-2002","Premature death",27,89,"Marshall","MN",107,NA,"6,261.10","4,533.00","8,430.80",1,NA,NA,NA,27089
"2001-2003","Premature death",27,89,"Marshall","MN",97,NA,"5,778.70","4,068.20","7,966.10",1,NA,NA,NA,27089
"2002-2004","Premature death",27,89,"Marshall","MN",88,NA,"5,609.70","3,912.30","7,793.60",1,NA,NA,NA,27089
"2003-2005","Premature death",27,89,"Marshall","MN",81,NA,"4,650.70","3,185.20","6,558.40",1,NA,NA,NA,27089
"2004-2006","Premature death",27,89,"Marshall","MN",87,NA,"4,166.56","3,337.24","5,139.44",1,2010,1,1,27089
"2005-2007","Premature death",27,89,"Marshall","MN",78,NA,"3,929.88","3,106.40","4,904.66",1,2011,1,NA,27089
"2006-2008","Premature death",27,89,"Marshall","MN",75,NA,"4,819.52","3,790.86","6,041.31",1,2012,1,NA,27089
"2007-2009","Premature death",27,89,"Marshall","MN",78,NA,"5,815.61","4,597.00","7,258.15",1,NA,NA,NA,27089
"2008-2010","Premature death",27,89,"Marshall","MN",83,NA,"5,824.51","4,639.19","7,220.36",1,2013,NA,NA,27089
"2009-2011","Premature death",27,89,"Marshall","MN",NA,NA,"5,228.20","4,214.70","6,411.90",1,NA,NA,NA,27089
"2010-2012","Premature death",27,89,"Marshall","MN",75,NA,"4,570.16","3,594.72","5,728.74",1,2015,NA,NA,27089
"2011-2013","Premature death",27,89,"Marshall","MN",78,25551,"4,665.40","3,687.80","5,822.60",1,2016,NA,NA,27089
"2012-2014","Premature death",27,89,"Marshall","MN",69,25487,"3,794.80","2,952.60","4,802.60",1,2017,NA,NA,27089
"2013-2015","Premature death",27,89,"Marshall","MN",84,25462,"4,044.10","3,225.73","5,006.87",1,NA,NA,NA,27089
"2014-2016","Premature death",27,89,"Marshall","MN",88,25355,"5,359.15","4,298.20","6,602.62",1,2018,NA,NA,27089
"2015-2017","Premature death",27,89,"Marshall","MN",94,25250,"6,044.42","4,884.51","7,396.84",1,2019,NA,NA,27089
"2016-2018","Premature death",27,89,"Marshall","MN",99,25156,"6,906.65","4,911.31","9,441.62",1,2020,NA,NA,27089
"2017-2019","Premature death",27,89,"Marshall","MN",108,25100,"6,817.65","4,813.75","8,821.54",1,2021,NA,NA,27089
"2018-2020","Premature death",27,89,"Marshall","MN",110,25043,"6,572.07","4,598.23","8,545.90",1,2022,NA,NA,27089
"2019-2021","Premature death",27,89,"Marshall","MN",111,24725,"6,216.72","4,344.64","8,088.79",1,2024,NA,1,27089
"1997-1999","Premature death",27,113,"Pennington","MN",131,NA,"6,179.20","4,819.00","7,804.30",1,NA,NA,NA,27113
"1998-2000","Premature death",27,113,"Pennington","MN",149,NA,"6,774.20","5,340.30","8,474.60",1,NA,NA,NA,27113
"1999-2001","Premature death",27,113,"Pennington","MN",144,NA,"6,907.20","5,370.60","8,746.80",1,NA,NA,NA,27113
"2000-2002","Premature death",27,113,"Pennington","MN",142,NA,"6,611.40","5,120.50","8,401.00",1,NA,NA,NA,27113
"2001-2003","Premature death",27,113,"Pennington","MN",144,NA,"6,984.00","5,440.20","8,829.80",1,NA,NA,NA,27113
"2002-2004","Premature death",27,113,"Pennington","MN",146,NA,"6,318.70","4,949.20","7,949.90",1,NA,NA,NA,27113
"2003-2005","Premature death",27,113,"Pennington","MN",147,NA,"6,732.30","5,324.80","8,397.80",1,NA,NA,NA,27113
"2004-2006","Premature death",27,113,"Pennington","MN",128,NA,"5,489.19","4,186.66","6,791.71",1,2010,1,1,27113
"2005-2007","Premature death",27,113,"Pennington","MN",119,NA,"5,717.33","4,338.52","7,096.14",1,2011,1,NA,27113
"2006-2008","Premature death",27,113,"Pennington","MN",109,NA,"5,138.93","3,796.77","6,481.09",1,2012,1,NA,27113
"2007-2009","Premature death",27,113,"Pennington","MN",120,NA,"6,619.08","4,995.18","8,242.99",1,NA,NA,NA,27113
"2008-2010","Premature death",27,113,"Pennington","MN",127,NA,"6,258.45","4,739.69","7,777.22",1,2013,NA,NA,27113
"2009-2011","Premature death",27,113,"Pennington","MN",NA,NA,"6,728.80","5,181.40","8,276.20",1,NA,NA,NA,27113
"2010-2012","Premature death",27,113,"Pennington","MN",150,NA,"6,045.13","4,659.57","7,430.69",1,2015,NA,NA,27113
"2011-2013","Premature death",27,113,"Pennington","MN",155,38956,"6,650.80","5,113.00","8,188.50",1,2016,NA,NA,27113
"2012-2014","Premature death",27,113,"Pennington","MN",146,38994,"6,106.90","4,602.10","7,611.80",1,2017,NA,NA,27113
"2013-2015","Premature death",27,113,"Pennington","MN",146,39123,"6,525.43","4,934.43","8,116.42",1,NA,NA,NA,27113
"2014-2016","Premature death",27,113,"Pennington","MN",142,39201,"5,965.22","4,480.62","7,449.82",1,2018,NA,NA,27113
"2015-2017","Premature death",27,113,"Pennington","MN",148,39248,"6,411.75","4,807.90","8,015.60",1,2019,NA,NA,27113
"2016-2018","Premature death",27,113,"Pennington","MN",153,39085,"6,150.50","4,604.55","7,696.45",1,2020,NA,NA,27113
"2017-2019","Premature death",27,113,"Pennington","MN",152,38848,"6,001.36","4,453.27","7,549.44",1,2021,NA,NA,27113
"2018-2020","Premature death",27,113,"Pennington","MN",152,38432,"6,298.75","4,747.41","7,850.10",1,2022,NA,NA,27113
"2019-2021","Premature death",27,113,"Pennington","MN",163,38068,"6,686.73","5,081.60","8,291.86",1,2024,NA,1,27113
"1997-1999","Premature death",27,125,"Red Lake","MN",64,NA,"9,823.00","6,670.50","13,949.50",1,NA,NA,NA,27125
"1998-2000","Premature death",27,125,"Red Lake","MN",54,NA,"","","",1,NA,NA,NA,27125
"1999-2001","Premature death",27,125,"Red Lake","MN",52,NA,"","","",1,NA,NA,NA,27125
"2000-2002","Premature death",27,125,"Red Lake","MN",50,NA,"","","",1,NA,NA,NA,27125
"2001-2003","Premature death",27,125,"Red Lake","MN",52,NA,"","","",1,NA,NA,NA,27125
"2002-2004","Premature death",27,125,"Red Lake","MN",53,NA,"","","",1,NA,NA,NA,27125
"2003-2005","Premature death",27,125,"Red Lake","MN",50,NA,"","","",1,NA,NA,NA,27125
"2004-2006","Premature death",27,125,"Red Lake","MN",51,NA,"7,480.56","5,569.77","9,835.56",1,2010,1,1,27125
"2005-2007","Premature death",27,125,"Red Lake","MN",49,NA,"8,289.92","6,132.93","10,959.72",1,2011,1,NA,27125
"2006-2008","Premature death",27,125,"Red Lake","MN",46,NA,"8,036.67","5,883.85","10,719.79",1,2012,1,NA,27125
"2007-2009","Premature death",27,125,"Red Lake","MN",45,NA,"6,186.04","4,512.14","8,277.40",1,NA,NA,NA,27125
"2008-2010","Premature death",27,125,"Red Lake","MN",42,NA,"5,419.97","3,906.24","7,326.23",1,2013,NA,NA,27125
"2009-2011","Premature death",27,125,"Red Lake","MN",NA,NA,"7,079.10","5,201.40","9,413.60",1,NA,NA,NA,27125
"2010-2012","Premature death",27,125,"Red Lake","MN",47,NA,"6,547.49","4,810.85","8,706.77",1,2015,NA,NA,27125
"2011-2013","Premature death",27,125,"Red Lake","MN",57,11208,"5,544.00","4,199.00","7,182.90",1,2016,NA,NA,27125
"2012-2014","Premature death",27,125,"Red Lake","MN",48,11117,"3,980.00","2,934.50","5,276.90",1,2017,NA,NA,27125
"2013-2015","Premature death",27,125,"Red Lake","MN",47,11062,"5,392.58","3,962.27","7,170.99",1,NA,NA,NA,27125
"2014-2016","Premature death",27,125,"Red Lake","MN",37,10999,"5,995.52","4,221.40","8,264.04",1,2018,NA,NA,27125
"2015-2017","Premature death",27,125,"Red Lake","MN",43,10962,"6,490.81","4,697.43","8,743.07",1,2019,NA,NA,27125
"2016-2018","Premature death",27,125,"Red Lake","MN",51,10887,"7,075.99","4,260.21","11,050.03",1,2020,NA,NA,27125
"2017-2019","Premature death",27,125,"Red Lake","MN",60,10904,"7,247.77","4,427.13","11,193.59",1,2021,NA,NA,27125
"2018-2020","Premature death",27,125,"Red Lake","MN",61,10897,"7,865.87","4,929.50","11,909.03",1,2022,NA,NA,27125
"2019-2021","Premature death",27,125,"Red Lake","MN",59,10838,"7,777.10","4,873.87","11,774.62",1,2024,NA,1,27125
"1997-1999","Premature death",27,135,"Roseau","MN",156,NA,"7,013.20","5,626.30","8,638.60",1,NA,NA,NA,27135
"1998-2000","Premature death",27,135,"Roseau","MN",150,NA,"6,769.50","5,377.80","8,411.40",1,NA,NA,NA,27135
"1999-2001","Premature death",27,135,"Roseau","MN",148,NA,"6,500.80","5,139.30","8,112.50",1,NA,NA,NA,27135
"2000-2002","Premature death",27,135,"Roseau","MN",131,NA,"5,917.40","4,596.20","7,500.30",1,NA,NA,NA,27135
"2001-2003","Premature death",27,135,"Roseau","MN",132,NA,"6,014.30","4,693.90","7,590.90",1,NA,NA,NA,27135
"2002-2004","Premature death",27,135,"Roseau","MN",132,NA,"6,181.50","4,827.50","7,797.60",1,NA,NA,NA,27135
"2003-2005","Premature death",27,135,"Roseau","MN",135,NA,"6,046.20","4,729.10","7,616.70",1,NA,NA,NA,27135
"2004-2006","Premature death",27,135,"Roseau","MN",129,NA,"5,681.08","4,341.84","7,020.31",1,2010,1,1,27135
"2005-2007","Premature death",27,135,"Roseau","MN",129,NA,"5,399.70","4,098.29","6,701.11",1,2011,1,NA,27135
"2006-2008","Premature death",27,135,"Roseau","MN",135,NA,"5,288.21","4,029.24","6,547.19",1,2012,1,NA,27135
"2007-2009","Premature death",27,135,"Roseau","MN",135,NA,"5,007.43","3,765.00","6,249.85",1,NA,NA,NA,27135
"2008-2010","Premature death",27,135,"Roseau","MN",128,NA,"5,157.28","3,809.11","6,505.45",1,2013,NA,NA,27135
"2009-2011","Premature death",27,135,"Roseau","MN",NA,NA,"4,902.70","3,611.00","6,194.40",1,NA,NA,NA,27135
"2010-2012","Premature death",27,135,"Roseau","MN",124,NA,"5,199.76","3,807.85","6,591.67",1,2015,NA,NA,27135
"2011-2013","Premature death",27,135,"Roseau","MN",142,43299,"5,606.10","4,228.40","6,983.90",1,2016,NA,NA,27135
"2012-2014","Premature death",27,135,"Roseau","MN",157,43420,"6,665.90","5,083.30","8,248.50",1,2017,NA,NA,27135
"2013-2015","Premature death",27,135,"Roseau","MN",156,43667,"6,648.44","5,052.24","8,244.65",1,NA,NA,NA,27135
"2014-2016","Premature death",27,135,"Roseau","MN",148,43680,"6,338.12","4,756.65","7,919.60",1,2018,NA,NA,27135
"2015-2017","Premature death",27,135,"Roseau","MN",136,43283,"5,984.80","4,460.00","7,509.60",1,2019,NA,NA,27135
"2016-2018","Premature death",27,135,"Roseau","MN",137,42601,"6,269.26","4,683.83","7,854.68",1,2020,NA,NA,27135
"2017-2019","Premature death",27,135,"Roseau","MN",150,42091,"6,449.09","4,885.28","8,012.89",1,2021,NA,NA,27135
"2018-2020","Premature death",27,135,"Roseau","MN",185,41800,"7,574.54","5,838.10","9,310.98",1,2022,NA,NA,27135
"2019-2021","Premature death",27,135,"Roseau","MN",223,41939,"8,340.25","6,574.59","10,105.92",1,2024,NA,1,27135
"2008","Uninsured adults",0,0,"United States","US",36121186,186148014,"0.19","","",3,NA,NA,NA,9
"2009","Uninsured adults",0,0,"United States","US",38791372,187746677,"0.21","","",3,2012,NA,NA,9
"2010","Uninsured adults",0,0,"United States","US",40754555,189379289,"0.22","","",3,2013,NA,NA,9
"2011","Uninsured adults",0,0,"United States","US",40297670,190888983,"0.21","","",3,2014,NA,NA,9
"2012","Uninsured adults",0,0,"United States","US",39791596,191640968,"0.21","","",3,2015,NA,NA,9
"2013","Uninsured adults",0,0,"United States","US",39336439,192461143,"0.20","","",3,2016,NA,NA,9
"2014","Uninsured adults",0,0,"United States","US",31701534,193600545,"0.16","","",3,2017,NA,NA,9
"2015","Uninsured adults",0,0,"United States","US",25700940,194584952,"0.13","","",3,2018,NA,NA,9
"2016","Uninsured adults",0,0,"United States","US",23533400,194808251,"0.12","","",3,2019,NA,NA,9
"2017","Uninsured adults",0,0,"United States","US",23979301,195788599,"0.12","","",3,2020,NA,NA,9
"2018","Uninsured adults",0,0,"United States","US",24386874,195883847,"0.12","","",3,2021,NA,NA,9
"2019","Uninsured adults",0,0,"United States","US",25136272,195703724,"0.13","","",3,2022,NA,NA,9
"2020","Uninsured adults",0,0,"United States","US",24218806,195681336,"0.12","","",3,2023,NA,NA,9
"2021","Uninsured adults",0,0,"United States","US",23878505,197133424,"0.12","","",3,2024,NA,NA,9
"2008","Uninsured adults",27,0,"Minnesota","MN",352742,3240689,"0.11","0.11","0.11",3,NA,NA,NA,99
"2009","Uninsured adults",27,0,"Minnesota","MN",379937,3260403,"0.12","0.11","0.12",3,2012,NA,NA,99
"2010","Uninsured adults",27,0,"Minnesota","MN",388267,3267415,"0.12","0.12","0.12",3,2013,NA,NA,99
"2011","Uninsured adults",27,0,"Minnesota","MN",385099,3291165,"0.12","0.11","0.12",3,2014,NA,NA,99
"2012","Uninsured adults",27,0,"Minnesota","MN",353644,3299224,"0.11","0.10","0.11",3,2015,NA,NA,99
"2013","Uninsured adults",27,0,"Minnesota","MN",363386,3313705,"0.11","0.11","0.11",3,2016,NA,NA,99
"2014","Uninsured adults",27,0,"Minnesota","MN",263713,3324671,"0.08","0.08","0.08",3,2017,NA,NA,99
"2015","Uninsured adults",27,0,"Minnesota","MN",201096,3331441,"0.06","0.06","0.06",3,2018,NA,NA,99
"2016","Uninsured adults",27,0,"Minnesota","MN",181003,3332959,"0.05","0.05","0.06",3,2019,NA,NA,99
"2017","Uninsured adults",27,0,"Minnesota","MN",195025,3353569,"0.06","0.06","0.06",3,2020,NA,NA,99
"2018","Uninsured adults",27,0,"Minnesota","MN",198068,3354680,"0.06","0.06","0.06",3,2021,NA,NA,99
"2019","Uninsured adults",27,0,"Minnesota","MN",231346,3353288,"0.07","0.07","0.07",3,2022,NA,NA,99
"2020","Uninsured adults",27,0,"Minnesota","MN",230989,3351918,"0.07","0.07","0.07",3,2023,NA,NA,99
"2021","Uninsured adults",27,0,"Minnesota","MN",208310,3376245,"0.06","0.06","0.06",3,2024,NA,NA,99
"2008","Uninsured adults",27,69,"Kittson","MN",346,2519,"0.14","0.12","0.16",3,NA,NA,NA,27069
"2009","Uninsured adults",27,69,"Kittson","MN",350,2394,"0.15","0.13","0.16",3,2012,1,NA,27069
"2010","Uninsured adults",27,69,"Kittson","MN",305,2525,"0.12","0.10","0.14",3,2013,NA,NA,27069
"2011","Uninsured adults",27,69,"Kittson","MN",275,2512,"0.11","0.09","0.12",3,2014,NA,NA,27069
"2012","Uninsured adults",27,69,"Kittson","MN",253,2479,"0.10","0.09","0.12",3,2015,NA,NA,27069
"2013","Uninsured adults",27,69,"Kittson","MN",243,2471,"0.10","0.09","0.11",3,2016,NA,NA,27069
"2014","Uninsured adults",27,69,"Kittson","MN",182,2466,"0.07","0.06","0.09",3,2017,NA,NA,27069
"2015","Uninsured adults",27,69,"Kittson","MN",136,2447,"0.06","0.05","0.06",3,2018,NA,NA,27069
"2016","Uninsured adults",27,69,"Kittson","MN",132,2376,"0.06","0.05","0.07",3,2019,NA,NA,27069
"2017","Uninsured adults",27,69,"Kittson","MN",138,2325,"0.06","0.05","0.07",3,2020,NA,NA,27069
"2018","Uninsured adults",27,69,"Kittson","MN",122,2288,"0.05","0.04","0.06",3,2021,NA,NA,27069
"2019","Uninsured adults",27,69,"Kittson","MN",155,2278,"0.07","0.06","0.08",3,2022,NA,NA,27069
"2020","Uninsured adults",27,69,"Kittson","MN",139,2196,"0.06","0.05","0.08",3,2023,NA,NA,27069
"2021","Uninsured adults",27,69,"Kittson","MN",124,2183,"0.06","0.05","0.07",3,2024,NA,NA,27069
"2008","Uninsured adults",27,89,"Marshall","MN",819,5556,"0.15","0.13","0.17",3,NA,NA,NA,27089
"2009","Uninsured adults",27,89,"Marshall","MN",735,5327,"0.14","0.12","0.15",3,2012,1,NA,27089
"2010","Uninsured adults",27,89,"Marshall","MN",678,5389,"0.13","0.11","0.14",3,2013,NA,NA,27089
"2011","Uninsured adults",27,89,"Marshall","MN",677,5468,"0.12","0.11","0.14",3,2014,NA,NA,27089
"2012","Uninsured adults",27,89,"Marshall","MN",637,5400,"0.12","0.10","0.13",3,2015,NA,NA,27089
"2013","Uninsured adults",27,89,"Marshall","MN",644,5394,"0.12","0.10","0.13",3,2016,1,NA,27089
"2014","Uninsured adults",27,89,"Marshall","MN",452,5363,"0.08","0.07","0.10",3,2017,NA,NA,27089
"2015","Uninsured adults",27,89,"Marshall","MN",339,5349,"0.06","0.05","0.07",3,2018,NA,NA,27089
"2016","Uninsured adults",27,89,"Marshall","MN",341,5288,"0.06","0.05","0.08",3,2019,NA,NA,27089
"2017","Uninsured adults",27,89,"Marshall","MN",342,5259,"0.07","0.05","0.08",3,2020,NA,NA,27089
"2018","Uninsured adults",27,89,"Marshall","MN",378,5194,"0.07","0.06","0.08",3,2021,NA,NA,27089
"2019","Uninsured adults",27,89,"Marshall","MN",391,5091,"0.08","0.06","0.09",3,2022,NA,NA,27089
"2020","Uninsured adults",27,89,"Marshall","MN",438,5027,"0.09","0.07","0.10",3,2023,NA,NA,27089
"2021","Uninsured adults",27,89,"Marshall","MN",369,4875,"0.08","0.06","0.09",3,2024,NA,NA,27089
"2008","Uninsured adults",27,113,"Pennington","MN",977,8347,"0.12","0.10","0.13",3,NA,NA,NA,27113
"2009","Uninsured adults",27,113,"Pennington","MN",993,8369,"0.12","0.10","0.14",3,2012,1,NA,27113
"2010","Uninsured adults",27,113,"Pennington","MN",986,8333,"0.12","0.10","0.14",3,2013,NA,NA,27113
"2011","Uninsured adults",27,113,"Pennington","MN",904,8432,"0.11","0.09","0.12",3,2014,NA,NA,27113
"2012","Uninsured adults",27,113,"Pennington","MN",928,8419,"0.11","0.09","0.13",3,2015,NA,NA,27113
"2013","Uninsured adults",27,113,"Pennington","MN",766,8424,"0.09","0.08","0.10",3,2016,NA,NA,27113
"2014","Uninsured adults",27,113,"Pennington","MN",603,8407,"0.07","0.06","0.08",3,2017,NA,NA,27113
"2015","Uninsured adults",27,113,"Pennington","MN",476,8437,"0.06","0.05","0.07",3,2018,NA,NA,27113
"2016","Uninsured adults",27,113,"Pennington","MN",427,8418,"0.05","0.04","0.06",3,2019,NA,NA,27113
"2017","Uninsured adults",27,113,"Pennington","MN",407,8373,"0.05","0.04","0.06",3,2020,NA,NA,27113
"2018","Uninsured adults",27,113,"Pennington","MN",403,8267,"0.05","0.04","0.06",3,2021,NA,NA,27113
"2019","Uninsured adults",27,113,"Pennington","MN",483,8153,"0.06","0.05","0.07",3,2022,NA,NA,27113
